,etat,marque,prix_euro,couleur,taille_ecran_pouce,capacite_stockage_Go,megapixel,systeme_exploitation,resolution_ecran,reseau,date_de_sortie,memoire,connecteur,double_sim,port_carte_SD,pliable,poids_g
77,Parfait état,samsung,211.0,bleu corail,5.8,64.0,12,Android,1440x2960,4G,2018,4.0,USB-C + Jack 3.5mm,Non,Oui,Non,163
78,État correct,apple,680.0,bleu,6.1,64.0,12,iOS,1170x2532,5G,2020,4.0,Lightning,Non,Non,Non,164
79,Très bon état,apple,676.0,bleu,6.1,64.0,12,iOS,1170x2532,5G,2020,4.0,Lightning,Non,Non,Non,164
80,Parfait état,apple,750.0,bleu,6.1,64.0,12,iOS,1170x2532,5G,2020,4.0,Lightning,Non,Non,Non,164
81,État correct,apple,390.0,gris sidéral,5.8,256.0,12,iOS,1125x2436,4G,2017,3.0,Lightning,Non,Non,Non,174
82,Très bon état,apple,419.0,gris sidéral,5.8,256.0,12,iOS,1125x2436,4G,2017,3.0,Lightning,Non,Non,Non,174
83,Parfait état,apple,436.0,gris sidéral,5.8,256.0,12,iOS,1125x2436,4G,2017,3.0,Lightning,Non,Non,Non,174
84,État correct,apple,394.0,gris sidéral,5.8,256.0,12,iOS,1125x2436,4G,2018,4.0,Lightning,Non,Non,Non,177
85,Très bon état,apple,487.0,gris sidéral,5.8,256.0,12,iOS,1125x2436,4G,2018,4.0,Lightning,Non,Non,Non,177
86,Parfait état,apple,499.0,gris sidéral,5.8,256.0,12,iOS,1125x2436,4G,2018,4.0,Lightning,Non,Non,Non,177
87,État correct,apple,597.0,gris sidéral,5.8,64.0,12,iOS,1125x2436,4G,2019,4.0,Lightning,Non,Non,Non,188
88,Très bon état,apple,641.0,gris sidéral,5.8,64.0,12,iOS,1125x2436,4G,2019,4.0,Lightning,Non,Non,Non,188
89,Parfait état,apple,658.0,gris sidéral,5.8,64.0,12,iOS,1125x2436,4G,2019,4.0,Lightning,Non,Non,Non,188
90,État correct,samsung,235.0,noir carbone,6.2,64.0,12,Android,1440x2960,4G,2018,6.0,USB-C + Jack 3.5mm,Non,Oui,Non,189
91,Très bon état,samsung,260.0,noir carbone,6.2,64.0,12,Android,1440x2960,4G,2018,6.0,USB-C + Jack 3.5mm,Non,Oui,Non,189
92,Parfait état,samsung,259.0,noir carbone,6.2,64.0,12,Android,1440x2960,4G,2018,6.0,USB-C + Jack 3.5mm,Non,Oui,Non,189
93,État correct,apple,359.0,bleu,6.1,64.0,12,iOS,828x1792,4G,2018,3.0,Lightning,Non,Non,Non,194
94,Très bon état,apple,376.0,bleu,6.1,64.0,12,iOS,828x1792,4G,2018,3.0,Lightning,Non,Non,Non,194
95,Parfait état,apple,384.0,bleu,6.1,64.0,12,iOS,828x1792,4G,2018,3.0,Lightning,Non,Non,Non,194
96,État correct,apple,115.0,gris sidéral,4.7,32.0,12,iOS,750x1334,4G,2015,2.0,Lightning + Jack 3.5mm,Non,Non,Non,143
97,Très bon état,apple,123.0,gris sidéral,4.7,32.0,12,iOS,750x1334,4G,2015,2.0,Lightning + Jack 3.5mm,Non,Non,Non,143
98,État correct,samsung,339.9,blanc,6.1,128.0,16,Android,1440x3040,4G,2019,8.0,USB-C + Jack 3.5mm,Non,Oui,Non,175
99,Très bon état,samsung,299.99,blanc,6.1,128.0,16,Android,1440x3040,4G,2019,8.0,USB-C + Jack 3.5mm,Non,Oui,Non,175
100,Parfait état,samsung,305.0,blanc,6.1,128.0,16,Android,1440x3040,4G,2019,8.0,USB-C + Jack 3.5mm,Non,Oui,Non,175
101,État correct,apple,377.0,argent,5.8,256.0,12,iOS,1125x2436,4G,2017,3.0,Lightning,Non,Non,Non,174
102,Très bon état,apple,423.0,argent,5.8,256.0,12,iOS,1125x2436,4G,2017,3.0,Lightning,Non,Non,Non,174
103,Parfait état,apple,430.0,argent,5.8,256.0,12,iOS,1125x2436,4G,2017,3.0,Lightning,Non,Non,Non,174
104,État correct,apple,172.84,argent,4.7,32.0,12,iOS,750x1334,4G,2016,2.0,Lightning,Non,Non,Non,138
105,Parfait état,apple,191.0,argent,4.7,32.0,12,iOS,750x1334,4G,2016,2.0,Lightning,Non,Non,Non,138
106,État correct,apple,602.04,mauve,6.1,128.0,12,iOS,828x1792,4G,2019,4.0,Lightning,Non,Non,Non,194
107,Très bon état,apple,574.0,mauve,6.1,128.0,12,iOS,828x1792,4G,2019,4.0,Lightning,Non,Non,Non,194
108,Parfait état,apple,595.0,mauve,6.1,128.0,12,iOS,828x1792,4G,2019,4.0,Lightning,Non,Non,Non,194
109,État correct,apple,539.0,vert,6.1,64.0,12,iOS,828x1792,4G,2019,4.0,Lightning,Non,Non,Non,194
110,État correct,apple,179.0,noir,4.7,128.0,12,iOS,750x1334,4G,2016,2.0,Lightning,Non,Non,Non,138
111,Très bon état,apple,212.0,noir,4.7,128.0,12,iOS,750x1334,4G,2016,2.0,Lightning,Non,Non,Non,138
112,Parfait état,apple,230.0,noir,4.7,128.0,12,iOS,750x1334,4G,2016,2.0,Lightning,Non,Non,Non,138
113,État correct,apple,406.0,noir,4.7,128.0,12,iOS,750x1334,4G,2020,3.0,Lightning,Non,Non,Non,148
114,Très bon état,apple,416.0,noir,4.7,128.0,12,iOS,750x1334,4G,2020,3.0,Lightning,Non,Non,Non,148
115,Parfait état,apple,436.0,noir,4.7,128.0,12,iOS,750x1334,4G,2020,3.0,Lightning,Non,Non,Non,148
116,État correct,apple,308.0,gris sidéral,5.5,64.0,12,iOS,1080x1920,4G,2017,3.0,Lightning,Non,Non,Non,202
117,Très bon état,apple,341.0,gris sidéral,5.5,64.0,12,iOS,1080x1920,4G,2017,3.0,Lightning,Non,Non,Non,202
118,Parfait état,apple,364.0,gris sidéral,5.5,64.0,12,iOS,1080x1920,4G,2017,3.0,Lightning,Non,Non,Non,202
119,Très bon état,apple,269.0,rouge,4.7,64.0,12,iOS,750x1334,4G,2017,2.0,Lightning,Non,Non,Non,148
120,Parfait état,apple,262.0,rouge,4.7,64.0,12,iOS,750x1334,4G,2017,2.0,Lightning,Non,Non,Non,148
121,État correct,apple,98.0,gris sidéral,4.0,32.0,12,iOS,640x1136,4G,2016,2.0,Lightning + Jack 3.5mm,Non,Non,Non,113
122,Très bon état,apple,179.0,gris sidéral,4.0,32.0,12,iOS,640x1136,4G,2016,2.0,Lightning + Jack 3.5mm,Non,Non,Non,113
123,État correct,apple,404.8,argent,5.8,64.0,12,iOS,1125x2436,4G,2018,4.0,Lightning,Non,Non,Non,177
124,Très bon état,apple,429.0,argent,5.8,64.0,12,iOS,1125x2436,4G,2018,4.0,Lightning,Non,Non,Non,177
125,Parfait état,apple,399.0,argent,5.8,64.0,12,iOS,1125x2436,4G,2018,4.0,Lightning,Non,Non,Non,177
126,État correct,samsung,349.0,noir,5.8,128.0,16,Android,1080x2280,4G,2019,6.0,USB-C + Jack 3.5mm,Non,Oui,Non,150
127,Parfait état,samsung,289.0,noir,5.8,128.0,16,Android,1080x2280,4G,2019,6.0,USB-C + Jack 3.5mm,Non,Oui,Non,150
128,État correct,samsung,229.0,noir,5.8,64.0,12,Android,1440x2960,4G,2018,4.0,USB-C + Jack 3.5mm,Non,Oui,Non,163
129,Très bon état,samsung,245.0,noir,5.8,64.0,12,Android,1440x2960,4G,2018,4.0,USB-C + Jack 3.5mm,Non,Oui,Non,163
130,Parfait état,samsung,210.0,noir,5.8,64.0,12,Android,1440x2960,4G,2018,4.0,USB-C + Jack 3.5mm,Non,Oui,Non,163
131,État correct,apple,604.0,vert nuit,5.8,64.0,12,iOS,1125x2436,4G,2019,4.0,Lightning,Non,Non,Non,188
132,Très bon état,apple,611.0,vert nuit,5.8,64.0,12,iOS,1125x2436,4G,2019,4.0,Lightning,Non,Non,Non,188
133,Parfait état,apple,639.0,vert nuit,5.8,64.0,12,iOS,1125x2436,4G,2019,4.0,Lightning,Non,Non,Non,188
134,État correct,apple,369.0,corail,6.1,64.0,12,iOS,828x1792,4G,2018,3.0,Lightning,Non,Non,Non,194
135,Très bon état,apple,380.0,corail,6.1,64.0,12,iOS,828x1792,4G,2018,3.0,Lightning,Non,Non,Non,194
136,Parfait état,apple,392.0,corail,6.1,64.0,12,iOS,828x1792,4G,2018,3.0,Lightning,Non,Non,Non,194
137,État correct,apple,540.0,rouge,6.1,128.0,12,iOS,828x1792,4G,2019,4.0,Lightning,Non,Non,Non,194
138,Très bon état,apple,555.0,rouge,6.1,128.0,12,iOS,828x1792,4G,2019,4.0,Lightning,Non,Non,Non,194
139,Parfait état,apple,585.0,rouge,6.1,128.0,12,iOS,828x1792,4G,2019,4.0,Lightning,Non,Non,Non,194
140,État correct,apple,417.0,rouge,6.1,128.0,12,iOS,828x1792,4G,2018,3.0,Lightning,Non,Non,Non,194
141,Très bon état,apple,425.0,rouge,6.1,128.0,12,iOS,828x1792,4G,2018,3.0,Lightning,Non,Non,Non,194
142,Parfait état,apple,415.0,rouge,6.1,128.0,12,iOS,828x1792,4G,2018,3.0,Lightning,Non,Non,Non,194
143,État correct,samsung,165.0,noir,5.1,32.0,12,Android,1440x2560,4G,2016,4.0,micro USB + Jack 3.5mm,Non,Oui,Non,152
144,Très bon état,samsung,192.0,noir,5.1,32.0,12,Android,1440x2560,4G,2016,4.0,micro USB + Jack 3.5mm,Non,Oui,Non,152
145,Parfait état,samsung,173.0,noir,5.1,32.0,12,Android,1440x2560,4G,2016,4.0,micro USB + Jack 3.5mm,Non,Oui,Non,152
146,État correct,samsung,130.0,noir,5.2,32.0,16,Android,1080x1920,4G,2017,3.0,USB-C + Jack 3.5mm,Non,Oui,Non,157
147,Très bon état,samsung,165.39,noir,5.2,32.0,16,Android,1080x1920,4G,2017,3.0,USB-C + Jack 3.5mm,Non,Oui,Non,157
148,Parfait état,samsung,154.0,noir,5.2,32.0,16,Android,1080x1920,4G,2017,3.0,USB-C + Jack 3.5mm,Non,Oui,Non,157
149,État correct,apple,674.9,gris sidéral,5.8,256.0,12,iOS,1125x2436,4G,2019,4.0,Lightning,Non,Non,Non,188
150,Très bon état,apple,684.9,gris sidéral,5.8,256.0,12,iOS,1125x2436,4G,2019,4.0,Lightning,Non,Non,Non,188
151,Parfait état,apple,836.2,gris sidéral,5.8,256.0,12,iOS,1125x2436,4G,2019,4.0,Lightning,Non,Non,Non,188
152,État correct,apple,391.0,blanc,6.1,128.0,12,iOS,828x1792,4G,2018,3.0,Lightning,Non,Non,Non,194
153,Très bon état,apple,429.0,blanc,6.1,128.0,12,iOS,828x1792,4G,2018,3.0,Lightning,Non,Non,Non,194
154,Parfait état,apple,419.0,blanc,6.1,128.0,12,iOS,828x1792,4G,2018,3.0,Lightning,Non,Non,Non,194
155,État correct,apple,280.0,gris sidéral,4.7,256.0,12,iOS,750x1334,4G,2017,2.0,Lightning,Non,Non,Non,148
156,Très bon état,apple,269.0,gris sidéral,4.7,256.0,12,iOS,750x1334,4G,2017,2.0,Lightning,Non,Non,Non,148
157,Parfait état,apple,279.0,gris sidéral,4.7,256.0,12,iOS,750x1334,4G,2017,2.0,Lightning,Non,Non,Non,148
158,État correct,samsung,309.0,argent,6.7,256.0,16,Android,1440x3040,4G,2019,8.0,USB-C + Jack 3.5mm,Non,Non,Non,198
159,Très bon état,samsung,410.0,argent,6.7,256.0,16,Android,1440x3040,4G,2019,8.0,USB-C + Jack 3.5mm,Non,Non,Non,198
160,Parfait état,samsung,345.0,argent,6.7,256.0,16,Android,1440x3040,4G,2019,8.0,USB-C + Jack 3.5mm,Non,Non,Non,198
161,État correct,apple,659.0,gris sidéral,6.5,64.0,12,iOS,1242x2688,4G,2019,4.0,Lightning,Non,Non,Non,226
162,Très bon état,apple,690.0,gris sidéral,6.5,64.0,12,iOS,1242x2688,4G,2019,4.0,Lightning,Non,Non,Non,226
163,Parfait état,apple,720.0,gris sidéral,6.5,64.0,12,iOS,1242x2688,4G,2019,4.0,Lightning,Non,Non,Non,226
164,État correct,apple,674.9,vert nuit,5.8,256.0,12,iOS,1125x2436,4G,2019,4.0,Lightning,Non,Non,Non,188
165,Très bon état,apple,714.0,vert nuit,5.8,256.0,12,iOS,1125x2436,4G,2019,4.0,Lightning,Non,Non,Non,188
166,Parfait état,apple,755.0,vert nuit,5.8,256.0,12,iOS,1125x2436,4G,2019,4.0,Lightning,Non,Non,Non,188
167,État correct,apple,597.0,blanc,6.1,128.0,12,iOS,828x1792,4G,2019,4.0,Lightning,Non,Non,Non,194
168,Très bon état,apple,580.0,blanc,6.1,128.0,12,iOS,828x1792,4G,2019,4.0,Lightning,Non,Non,Non,194
169,Parfait état,apple,600.0,blanc,6.1,128.0,12,iOS,828x1792,4G,2019,4.0,Lightning,Non,Non,Non,194
170,État correct,apple,641.0,rouge,6.1,64.0,12,iOS,1170x2532,5G,2020,4.0,Lightning,Non,Non,Non,164
171,Très bon état,apple,705.0,rouge,6.1,64.0,12,iOS,1170x2532,5G,2020,4.0,Lightning,Non,Non,Non,164
172,Parfait état,apple,769.0,rouge,6.1,64.0,12,iOS,1170x2532,5G,2020,4.0,Lightning,Non,Non,Non,164
173,État correct,apple,437.0,gris sidéral,6.5,64.0,12,iOS,1242x2688,4G,2018,4.0,Lightning,Non,Non,Non,208
174,Très bon état,apple,509.0,gris sidéral,6.5,64.0,12,iOS,1242x2688,4G,2018,4.0,Lightning,Non,Non,Non,208
175,Parfait état,apple,520.0,gris sidéral,6.5,64.0,12,iOS,1242x2688,4G,2018,4.0,Lightning,Non,Non,Non,208
176,État correct,apple,399.0,rouge,4.7,128.0,12,iOS,750x1334,4G,2020,3.0,Lightning,Non,Non,Non,148
177,Très bon état,apple,406.0,rouge,4.7,128.0,12,iOS,750x1334,4G,2020,3.0,Lightning,Non,Non,Non,148
178,Parfait état,apple,416.0,rouge,4.7,128.0,12,iOS,750x1334,4G,2020,3.0,Lightning,Non,Non,Non,148
179,État correct,samsung,381.99,gris titane,5.8,64.0,12,Android,1440x2960,4G,2018,4.0,USB-C + Jack 3.5mm,Non,Oui,Non,163
180,Parfait état,samsung,215.0,gris titane,5.8,64.0,12,Android,1440x2960,4G,2018,4.0,USB-C + Jack 3.5mm,Non,Oui,Non,163
181,État correct,apple,845.0,bleu pacifique,6.1,128.0,12,iOS,1170x2532,5G,2020,6.0,Lightning,Non,Non,Non,187
182,Très bon état,apple,895.0,bleu pacifique,6.1,128.0,12,iOS,1170x2532,5G,2020,6.0,Lightning,Non,Non,Non,187
183,Parfait état,apple,944.0,bleu pacifique,6.1,128.0,12,iOS,1170x2532,5G,2020,6.0,Lightning,Non,Non,Non,187
184,État correct,apple,654.0,vert nuit,6.5,64.0,12,iOS,1242x2688,4G,2019,4.0,Lightning,Non,Non,Non,226
185,Très bon état,apple,666.0,vert nuit,6.5,64.0,12,iOS,1242x2688,4G,2019,4.0,Lightning,Non,Non,Non,226
186,Parfait état,apple,719.0,vert nuit,6.5,64.0,12,iOS,1242x2688,4G,2019,4.0,Lightning,Non,Non,Non,226
187,État correct,apple,594.0,noir,5.4,64.0,12,iOS,1080x2340,5G,2020,4.0,Lightning,Non,Non,Non,135
188,Très bon état,apple,605.0,noir,5.4,64.0,12,iOS,1080x2340,5G,2020,4.0,Lightning,Non,Non,Non,135
189,Parfait état,apple,618.0,noir,5.4,64.0,12,iOS,1080x2340,5G,2020,4.0,Lightning,Non,Non,Non,135
190,État correct,apple,595.0,bleu,5.4,64.0,12,iOS,1080x2340,5G,2020,4.0,Lightning,Non,Non,Non,135
191,Très bon état,apple,590.0,bleu,5.4,64.0,12,iOS,1080x2340,5G,2020,4.0,Lightning,Non,Non,Non,135
192,Parfait état,apple,611.0,bleu,5.4,64.0,12,iOS,1080x2340,5G,2020,4.0,Lightning,Non,Non,Non,135
193,État correct,apple,688.0,gris sidéral,6.5,256.0,12,iOS,1242x2688,4G,2019,4.0,Lightning,Non,Non,Non,226
194,Très bon état,apple,769.0,gris sidéral,6.5,256.0,12,iOS,1242x2688,4G,2019,4.0,Lightning,Non,Non,Non,226
195,Parfait état,apple,867.0,gris sidéral,6.5,256.0,12,iOS,1242x2688,4G,2019,4.0,Lightning,Non,Non,Non,226
196,État correct,apple,389.0,blanc,4.7,128.0,12,iOS,750x1334,4G,2020,3.0,Lightning,Non,Non,Non,148
197,Très bon état,apple,440.0,blanc,4.7,128.0,12,iOS,750x1334,4G,2020,3.0,Lightning,Non,Non,Non,148
198,Parfait état,apple,440.0,blanc,4.7,128.0,12,iOS,750x1334,4G,2020,3.0,Lightning,Non,Non,Non,148
199,État correct,apple,442.0,argent,5.8,256.0,12,iOS,1125x2436,4G,2018,4.0,Lightning,Non,Non,Non,177
200,Très bon état,apple,479.0,argent,5.8,256.0,12,iOS,1125x2436,4G,2018,4.0,Lightning,Non,Non,Non,177
201,Parfait état,apple,508.0,argent,5.8,256.0,12,iOS,1125x2436,4G,2018,4.0,Lightning,Non,Non,Non,177
202,État correct,samsung,371.0,bleu,6.1,128.0,16,Android,1440x3040,4G,2019,6.0,USB-C + Jack 3.5mm,Non,Oui,Non,157
203,Très bon état,samsung,385.0,bleu,6.1,128.0,16,Android,1440x3040,4G,2019,6.0,USB-C + Jack 3.5mm,Non,Oui,Non,157
204,Parfait état,samsung,305.0,bleu,6.1,128.0,16,Android,1440x3040,4G,2019,6.0,USB-C + Jack 3.5mm,Non,Oui,Non,157
205,État correct,apple,452.0,or,5.8,256.0,12,iOS,1125x2436,4G,2018,4.0,Lightning,Non,Non,Non,177
